Healthy	Unhealthy	Background_Blue	Background_Dark
74,127,57	208,185,133	48,75,152	11,11,11
70,126,51	196,164,125	48,77,155	11,11,11
65,121,50	198,166,127	46,77,157	12,10,11
67,124,53	196,167,127	40,76,152	11,11,11
73,138,44	191,191,57	40,78,151	11,11,11
74,139,47	196,197,61	76,98,173	8,10,9
75,140,48	198,199,63	72,96,168	7,8,10
89,155,58	203,200,61	69,92,168	5,9,10
87,153,56	201,197,61	64,89,169	5,9,10
85,151,54	199,196,63	58,87,167	5,9,10
96,154,69	177,182,80	42,94,196	14,12,13
97,152,69	176,181,79	45,96,201	11,13,12
90,145,61	176,181,79	51,100,202	12,14,11
92,152,64	183,190,95	59,108,201	13,13,11
91,151,61	182,189,93	66,113,205	14,15,10
90,153,64	180,188,89	42,77,161	35,36,30
97,148,79	167,166,83	43,78,160	25,25,23
96,147,78	173,173,87	38,74,158	13,15,14
98,149,80	179,179,93	31,67,151	11,11,11
67,123,48	197,183,94	29,64,148	12,11,9
63,119,48	198,185,93	30,53,120	17,17,17
66,123,52	198,185,93	32,53,118	17,17,17
66,131,37	202,179,127	29,53,115	19,19,19
73,138,46	201,178,126	25,51,108	20,20,22
78,143,51	211,188,136	22,47,104	20,20,22
87,153,56	194,162,123	77,94,39	13,12,17
88,154,57	196,164,125	84,104,45	13,12,17
85,151,54	196,167,127	90,110,49	12,11,16
95,153,68	175,171,80	82,102,39	11,11,13
94,152,67	174,170,83	71,96,30	11,10,15
88,146,61	174,168,80	41,86,167	17,16,12
93,153,65	212,196,170	47,90,168	18,17,12
95,155,67	210,194,168	49,91,165	19,18,13
91,153,67	210,193,167	43,85,157	19,20,14
98,149,80	166,163,92	33,75,147	18,19,14
97,148,79	165,160,94	50,75,155	18,16,17
97,149,77	166,158,95	50,79,159	15,15,17
67,121,46	150,156,46	48,79,161	15,15,15
63,116,44	150,158,47	42,77,158	18,16,17
65,121,50	148,156,45	43,80,158	20,16,17
55,125,29	164,165,46	77,100,176	12,13,17
64,131,38	163,163,39	72,98,172	14,13,18
72,137,45	163,164,37	67,93,170	18,18,20
88,153,59	167,149,75	62,88,172	20,20,20
87,152,58	168,150,76	56,84,168	22,21,19
85,150,56	170,152,78	40,91,196	6,10,9
92,150,65	92,69,28	41,92,199	7,11,10
91,149,64	90,69,26	53,102,204	10,12,11
87,145,60	90,69,26	67,113,207	11,13,12
92,154,68	178,174,85	76,123,211	9,13,12
92,154,68	179,175,88	42,77,161	17,17,17
92,154,69	177,171,85	41,73,158	15,15,15
98,150,78	212,196,171	39,75,159	17,17,19
96,150,75	212,196,170	34,70,156	20,20,22
94,148,72	211,195,170	30,66,150	20,20,22
71,136,46	164,161,90	31,54,121	16,15,20
71,135,48	166,161,95	33,54,119	13,12,17
69,133,47	169,160,101	30,54,116	12,11,16
88,150,51	147,154,42	26,52,111	11,11,13
83,147,51	146,155,40	23,47,107	12,11,16
77,142,48	144,153,38	81,98,44	16,15,11
56,110,34	164,165,46	93,110,55	17,16,11
58,112,36	162,162,38	93,113,54	17,16,11
56,110,34	164,165,38	83,101,43	16,17,12
82,147,47	167,149,75	72,94,29	15,16,11
79,145,45	169,151,77	43,88,169	18,16,17
79,147,48	170,150,77	49,92,171	16,16,18
102,161,67	93,70,29	51,92,171	15,15,15
101,160,66	92,69,28	54,96,172	17,15,16
103,162,68	90,68,27	40,84,159	20,16,17
86,148,62	178,177,87	55,80,160	12,13,17
89,148,64	180,175,91	54,81,162	14,13,18
90,148,64	179,173,87	52,83,165	17,17,19
72,137,47	211,195,170	52,85,166	18,18,18
69,133,46	213,197,171	48,85,165	20,19,17
70,134,48	213,197,172	70,96,173	7,13,11
87,149,50	161,159,84	70,98,172	8,12,11
84,148,51	164,159,95	66,93,170	9,13,12
80,144,48	169,160,101	59,87,170	9,13,12
56,110,34	144,151,39	51,81,167	9,13,12
56,110,34	142,151,36	45,94,199	17,18,20
57,111,35	141,150,35	42,93,198	16,16,18
76,141,41	161,163,40	54,102,200	17,17,19
80,146,46	162,164,39	77,124,214	19,18,23
78,146,47	161,163,38	86,132,218	20,19,24
100,159,67	166,148,74	38,72,159	17,18,22
101,160,66	168,150,76	36,70,157	12,13,17
103,162,70	169,149,76	35,71,157	14,13,18
88,150,65	93,70,29	33,69,155	11,11,13
92,151,67	92,69,28	32,68,154	13,11,16
95,152,71	92,69,28	31,55,119	16,15,13
72,137,47	176,166,81	34,55,120	17,16,12
71,136,44	175,164,75	33,54,119	15,16,11
72,136,52	171,156,71	28,52,114	14,15,10
85,147,48	172,158,83	23,47,107	12,12,10
83,147,51	178,166,90	85,99,50	17,15,16
84,148,54	184,173,94	99,116,64	16,14,15
57,111,33	182,165,96	97,114,60	17,15,16
58,112,36	183,168,99	83,100,46	20,16,15
58,112,36	188,173,104	70,92,30	21,15,15
77,143,43	202,178,130	43,90,172	14,13,18
75,143,42	203,180,130	47,93,171	15,15,17
75,145,47	203,180,128	50,93,171	19,17,20
95,154,62	176,164,80	52,98,173	17,17,17
97,158,65	173,161,75	42,90,166	20,19,17
102,161,71	172,157,72	66,89,167	9,15,13
90,152,67	179,168,89	60,87,166	10,14,13
91,150,68	182,171,91	57,88,168	10,14,13
97,154,75	187,176,96	58,90,173	9,13,12
99,157,72	181,163,91	51,88,169	8,12,11
95,158,69	183,164,95	65,94,174	14,15,17
95,155,65	181,167,96	65,94,172	15,15,17
88,144,71	199,175,127	61,92,172	17,16,21
96,152,79	199,175,127	55,85,171	18,17,22
105,158,88	201,177,129	48,78,168	18,17,22
83,138,55	174,162,78	49,98,203	17,18,22
77,136,46	172,160,74	51,100,203	12,13,17
75,136,43	176,161,78	60,106,202	14,13,18
81,147,59	186,174,98	74,117,209	12,12,14
79,145,55	186,175,96	90,135,220	13,11,16
79,144,50	188,177,97	39,76,164	17,16,14
98,156,71	180,161,85	41,77,165	17,16,12
95,156,63	181,163,89	36,72,158	15,16,11
96,155,61	180,163,91	34,70,158	13,13,11
93,147,72	196,169,124	33,67,156	10,10,8
99,152,80	195,168,123	30,54,118	19,17,18
101,154,82	197,173,125	33,54,119	18,16,17
82,137,54	141,156,61	33,54,119	20,18,19
78,134,45	148,163,72	28,51,118	22,18,17
76,135,43	158,172,84	25,49,113	24,18,18
78,144,56	125,108,92	86,99,55	13,12,17
76,142,52	125,108,92	98,114,69	15,15,17
75,140,46	122,104,90	95,111,64	18,16,19
97,155,70	166,176,80	81,97,48	19,19,19
96,157,64	164,174,75	66,85,30	20,19,17
96,155,61	163,173,74	44,91,173	9,15,13
96,150,75	143,160,58	45,90,171	10,16,14
99,152,80	148,163,68	53,96,175	12,16,15
97,150,78	156,171,80	55,101,178	11,15,14
87,140,60	132,115,97	41,88,168	10,14,13
80,136,49	132,115,99	69,95,169	16,15,20
74,133,39	125,107,93	68,96,170	15,13,18
77,141,54	167,177,80	64,96,173	15,13,16
77,142,52	167,178,76	59,92,171	16,16,18
75,142,47	171,179,78	54,89,173	16,16,18
73,130,49	126,77,70	61,91,177	13,17,20
74,129,48	126,79,73	60,92,175	12,13,17
74,127,47	125,78,70	60,92,177	13,13,15
73,126,46	127,80,72	51,85,172	13,13,15
72,127,46	130,83,75	43,77,166	14,12,15
73,130,49	254,198,105	47,96,198	17,15,16
74,129,48	254,188,101	52,102,201	16,15,13
75,128,48	254,191,98	59,105,199	13,13,11
75,128,48	255,186,95	70,114,201	10,12,11
73,128,47	241,184,94	82,124,208	9,11,10
72,129,48	220,181,104	41,79,164	24,20,19
71,128,47	219,191,107	40,77,165	24,20,19
73,128,47	237,195,113	41,77,165	27,23,22
73,128,47	255,204,113	38,74,162	29,23,23
74,129,48	226,188,113	33,67,156	33,24,25
71,128,47	200,162,123	31,55,117	14,14,16
70,127,46	206,164,124	34,55,118	16,14,17
72,127,46	209,171,135	33,54,119	19,17,18
71,126,45	203,167,133	28,51,118	19,19,19
71,126,45	194,168,135	25,50,114	21,20,18
70,127,46	254,215,114	87,99,59	9,15,13
70,127,46	254,212,114	97,112,71	10,16,14
72,127,46	255,210,122	91,106,63	12,16,15
71,126,45	252,204,119	76,92,47	13,17,16
72,127,46	254,211,117	61,79,31	15,17,16
61,116,32	127,80,74	42,67,124	12,11,9
62,117,36	128,79,74	42,64,124	14,13,11
62,117,34	127,78,74	36,57,122	16,16,14
62,117,34	128,80,76	31,55,119	16,16,14
60,115,32	139,86,82	31,56,122	15,17,16
59,115,28	255,196,102	73,105,180	10,12,11
61,115,31	255,191,101	52,85,166	10,12,11
62,116,32	255,186,95	48,84,170	9,10,12
63,116,34	255,190,99	37,77,164	9,9,11
61,116,33	252,185,94	39,79,166	11,11,13
58,114,27	205,173,100	39,53,79	12,11,9
62,116,32	220,182,107	42,56,83	14,13,11
63,117,33	221,190,108	46,55,88	17,17,15
64,117,35	226,194,111	48,56,92	18,18,16
64,119,36	222,189,112	46,54,90	16,18,17
59,115,28	210,165,126	44,73,133	10,12,11
63,115,30	207,165,127	41,67,128	11,13,12
64,116,31	202,166,130	35,60,126	10,11,13
66,119,37	216,172,133	32,59,126	10,10,12
67,120,38	201,171,137	29,58,126	10,10,12
59,115,28	252,212,117	77,109,186	14,14,12
61,113,28	255,213,119	58,90,173	15,15,13
64,116,31	255,206,119	48,84,172	16,16,14
66,119,37	255,200,117	45,85,172	18,18,16
67,120,38	255,209,121	42,82,169	19,20,15
73,116,47	130,81,76	35,49,75	10,12,9
74,114,52	130,79,75	37,51,78	12,12,12
72,111,54	124,79,76	44,50,84	12,12,14
70,109,54	130,85,80	46,52,88	11,11,13
69,106,52	145,90,87	43,51,87	11,11,13
71,114,45	255,192,97	50,80,144	15,15,13
69,111,48	254,193,100	44,72,137	16,16,14
68,107,50	255,191,97	36,63,132	17,17,15
70,109,54	255,201,101	34,61,132	18,18,16
72,111,56	246,178,93	34,62,135	19,20,15
70,113,44	218,183,102	63,99,175	10,12,9
69,111,48	225,187,106	55,91,175	11,11,11
68,107,50	214,183,103	54,94,181	11,11,13
70,109,54	215,188,107	48,92,179	12,12,14
69,108,53	235,188,108	44,88,175	12,12,14
67,112,43	212,170,128	32,46,72	17,15,16
69,111,47	212,169,127	34,48,75	17,17,17
69,110,50	217,172,131	38,47,78	17,17,15
71,112,54	211,173,137	39,50,82	19,18,16
69,110,54	207,174,143	38,49,81	20,19,17
67,112,43	245,202,110	55,86,153	13,15,12
70,112,48	255,209,114	46,75,143	14,14,12
72,113,53	254,202,118	39,68,136	12,12,10
74,115,57	247,199,115	33,63,133	13,13,13
69,110,54	255,201,116	36,69,140	15,15,15
78,132,56	130,81,76	56,91,172	7,13,11
77,131,53	135,82,76	53,89,177	7,13,11
78,132,54	128,79,75	54,93,184	5,11,9
80,134,58	131,82,77	48,92,179	9,13,12
82,136,60	134,83,79	50,94,181	11,15,14
80,134,59	255,193,100	31,45,71	9,13,12
79,133,57	254,189,97	31,45,72	8,12,11
80,134,58	254,185,94	35,44,75	5,9,8
81,135,60	255,179,95	35,46,78	7,11,10
82,136,60	246,170,92	34,45,77	11,13,12
81,135,60	253,207,109	43,76,147	8,12,11
81,135,59	246,197,104	43,73,145	7,11,10
84,136,61	213,180,101	37,67,139	5,9,8
83,135,61	237,186,103	35,65,138	9,11,10
83,135,61	254,210,111	41,73,148	11,13,12
81,134,62	211,167,128		
81,135,60	212,170,130		
82,134,60	221,173,133		
83,135,63	219,171,135		
83,135,61	216,176,140		
81,135,60	254,208,110		
81,135,59	254,204,109		
80,134,58	255,200,110		
81,135,60	255,200,107		
82,136,61	255,204,112		
66,109,40	133,83,76		
63,106,35	143,88,81		
61,107,35	133,82,78		
53,100,28	131,80,76		
51,102,27	130,80,73		
68,111,42	255,189,98		
64,107,36	255,186,95		
58,104,32	255,184,92		
52,99,27	254,176,91		
50,101,26	255,173,93		
67,110,38	233,187,101		
61,104,32	214,173,91		
55,101,28	209,172,91		
54,102,28	210,173,92		
49,100,23	222,177,94		
65,108,36	205,166,127		
61,104,32	202,164,128		
55,101,28	211,168,133		
53,101,27	216,170,134		
48,99,22	215,177,138		
60,107,29	255,205,104		
58,105,27	254,198,105		
55,103,27	254,197,108		
53,101,27	255,198,106		
49,97,21	253,210,106		
70,121,52	242,196,121		
72,124,52	231,194,116		
71,123,51	254,201,125		
65,115,42	247,194,124		
59,109,36	254,195,125		
75,125,56	204,153,110		
73,123,54	198,149,108		
68,118,49	205,152,108		
62,109,39	206,150,103		
57,107,34	199,147,100		
70,119,53	240,173,121		
67,117,48	226,169,124		
61,111,42	221,169,121		
59,106,36	230,172,122		
55,105,32	255,179,127		
61,112,43	253,213,144		
58,109,40	254,221,152		
55,107,35	255,221,150		
54,106,32	255,217,152		
52,106,30	255,232,154		
58,109,40	238,194,119		
56,107,38	220,185,119		
53,105,33	237,188,122		
53,105,31	255,197,133		
52,106,30	255,204,131		
83,138,54	212,155,110		
85,140,59	204,151,107		
86,141,60	207,153,107		
89,143,65	204,148,101		
90,145,64	201,149,101		
84,137,55	217,167,116		
84,137,57	226,168,120		
87,140,62	240,172,123		
88,143,62	247,177,126		
89,144,63	253,180,127		
84,137,55	255,217,148		
85,138,58	255,217,152		
86,139,61	254,221,152		
87,142,61	255,225,155		
88,143,62	255,220,152		
84,136,53	237,190,120		
86,138,56	214,182,123		
86,137,58	232,187,122		
87,140,58	245,195,126		
88,141,59	255,200,129		
84,136,53	201,153,107		
85,137,55	207,153,106		
86,137,58	211,155,106		
85,138,56	201,147,101		
86,139,57	193,145,99		
59,110,35	224,169,115		
55,111,38	215,164,117		
57,110,38	230,170,120		
60,113,43	221,169,122		
63,114,45	216,168,120		
59,110,35	255,215,146		
54,110,37	254,224,151		
56,109,37	255,221,147		
58,111,41	254,214,145		
61,112,43	255,218,140		
59,109,36	255,198,124		
56,110,35	229,188,126		
56,110,35	233,190,122		
57,110,38	235,191,126		
60,112,40	249,195,131		
58,108,35	201,155,105		
57,111,36	196,148,100		
56,110,35	196,148,102		
57,110,38	203,149,103		
59,111,39	204,151,101		
57,109,35	255,173,125		
58,110,35	216,166,117		
56,110,34	207,160,116		
57,111,36	203,162,116		
57,111,36	213,165,117		
106,147,89	255,210,142		
104,145,87	254,209,141		
106,147,91	254,204,135		
111,151,98	255,200,139		
115,155,103	254,210,137		
104,145,85	239,192,122		
102,143,83	228,187,123		
106,147,89	254,202,129		
111,152,96	254,201,133		
114,154,101	255,209,137		
102,143,83	200,150,101		
99,140,80	199,148,103		
101,142,84	195,147,101		
109,150,94	198,147,100		
110,150,97	204,151,101		
100,141,81	255,178,124		
97,139,76	217,165,117		
97,141,78	209,161,115		
99,143,82	232,168,120		
107,150,94	236,181,125		
98,139,79	254,217,139		
94,136,73	255,214,138		
92,137,72	255,203,133		
94,138,77	254,188,127		
101,144,88	253,200,124		
96,140,81	255,189,66		
96,140,81	255,191,68		
98,143,84	255,193,70		
98,143,84	255,200,71		
98,144,82	254,204,71		
95,139,80	255,183,70		
95,139,80	255,186,69		
96,141,82	255,185,71		
97,142,83	255,185,73		
96,142,80	255,181,72		
95,139,80	101,75,62		
96,140,81	111,85,70		
96,141,82	103,80,62		
96,141,82	106,75,55		
92,138,76	107,77,53		
95,139,80	91,63,60		
96,141,82	89,61,57		
97,142,83	91,67,57		
96,141,82	108,81,70		
92,136,77	118,88,78		
93,137,78	255,192,69		
96,141,82	254,199,72		
97,142,83	254,199,73		
96,141,82	254,204,71		
96,140,81	255,217,74		
50,104,28	255,191,71		
50,104,28	255,193,70		
48,104,29	254,192,71		
47,103,28	255,185,71		
46,104,30	255,183,72		
53,107,31	102,78,66		
51,105,29	103,79,67		
47,103,28	104,80,68		
47,103,28	102,74,53		
44,102,28	100,72,50		
55,109,33	93,64,60		
50,107,30	90,63,56		
48,106,29	96,72,62		
46,104,28	106,82,70		
43,101,25	115,89,76		
57,111,35	255,201,75		
52,109,32	255,216,76		
49,107,30	255,206,75		
47,105,29	255,209,74		
44,102,26	254,217,77		
55,112,33	255,189,74		
52,109,30	255,185,71		
50,109,29	255,185,71		
46,107,29	255,187,70		
43,104,26	255,186,72		
55,106,31	111,87,75		
53,105,30	106,79,68		
52,103,28	106,79,68		
79,133,58	99,72,55		
80,134,59	97,68,50		
81,135,60	99,72,65		
71,126,45	89,65,55		
71,125,47	95,71,59		
71,125,47	109,85,73		
70,123,41	109,83,70		
70,124,40	255,210,75		
63,119,32	255,207,73		
101,144,75	253,200,72		
101,142,76	254,204,71		
98,141,72	255,203,73		
66,121,40	255,188,73		
67,122,39	254,187,72		
65,123,39	255,186,72		
99,143,84	253,188,72		
93,137,78	255,186,74		
92,133,77	110,83,72		
74,133,41	111,87,75		
72,132,42	112,88,76		
73,132,42	107,81,68		
64,95,36	100,72,58		
68,97,41	89,66,58		
70,97,44	91,67,57		
54,104,31	101,77,67		
53,103,30	115,88,77		
50,101,26	112,84,73		
79,133,58	255,201,75		
81,135,60	255,198,75		
81,135,60	254,196,71		
71,126,45	255,196,69		
72,126,48	253,193,69		
72,126,48	255,184,71		
69,122,42	255,188,73		
69,122,40	254,189,71		
64,120,33	254,187,70		
102,145,76	255,183,70		
99,140,74	92,66,53		
95,138,69	97,75,62		
67,120,42	103,84,70		
67,120,40	110,86,74		
68,123,42	107,81,68		
101,145,86	91,66,61		
96,137,79	96,71,64		
94,133,78	112,85,76		
74,133,41	118,91,82		
71,131,41	111,87,75		
73,132,42	138,106,83		
60,91,32	143,108,86		
63,94,37	145,107,86		
67,96,42	141,105,83		
52,102,29	143,105,86		
52,102,29	209,177,100		
51,102,27	214,181,102		
80,134,59	219,180,103		
81,135,60	217,173,100		
82,136,61	215,176,99		
73,127,49	162,154,69		
73,127,49	167,159,74		
73,127,51	167,155,73		
68,121,41	175,158,78		
69,122,40	179,162,82		
67,123,36	194,156,111		
97,139,73	201,158,115		
93,135,69	199,156,113		
91,134,65	196,154,112		
70,122,47	211,164,120		
70,123,45	255,217,174		
70,123,45	214,195,153		
102,146,87	205,185,150		
99,140,82	217,195,158		
99,138,83	219,195,157		
74,133,41	142,107,88		
73,132,42	146,109,90		
73,131,44	143,106,87		
57,93,32	141,104,86		
62,96,36	143,104,89		
70,100,46	239,189,104		
86,138,64	239,192,102		
87,139,65	222,186,102		
89,143,68	218,180,99		
74,139,49	202,173,97		
74,139,49	160,152,67		
73,137,50	165,153,69		
70,130,42	171,155,77		
66,129,38	183,165,81		
67,130,39	187,169,85		
99,149,78	190,151,110		
95,149,74	192,155,111		
89,146,69	198,160,113		
48,104,31	214,166,118		
52,105,33	202,161,117		
51,105,30	222,198,160		
89,146,65	225,207,161		
82,140,56	213,195,155		
76,134,47	214,190,152		
75,132,51	214,190,154		
80,137,58	143,103,91		
81,138,59	151,109,95		
72,129,58	150,106,93		
72,129,60	142,102,90		
69,129,59	140,100,90		
59,121,46	235,189,103		
58,120,45	236,188,103		
56,118,45	229,187,103		
89,141,67	217,180,99		
89,141,67	217,180,99		
90,144,69	163,150,72		
74,139,47	171,156,73		
74,139,49	168,155,76		
73,138,48	169,156,78		
67,127,39	173,158,77		
64,127,36	193,155,110		
65,128,37	191,153,108		
100,150,81	210,162,114		
98,150,76	246,174,124		
96,150,74	216,165,118		
45,101,28	255,216,167		
50,103,31	254,214,165		
49,103,28	220,194,159		
86,143,62	209,191,155		
81,139,55	212,190,149		
76,134,47	134,98,86		
75,132,51	140,102,93		
78,135,54	147,107,97		
77,134,55	136,99,90		
66,128,55	135,96,89		
66,127,57	221,186,96		
65,127,54	223,186,98		
58,122,46	220,184,100		
57,121,45	222,186,102		
56,118,45	225,189,103		
90,144,69	171,153,71		
91,144,72	171,155,70		
89,145,72	163,150,71		
74,139,47	165,154,74		
74,139,49	169,153,76		
73,138,48	202,157,115		
65,128,37	188,149,108		
65,129,35	201,158,113		
67,131,35	231,171,121		
105,155,86	204,159,117		
103,155,83	248,211,169		
100,154,79	236,204,165		
45,98,26	216,194,155		
49,100,31	230,195,157		
48,101,29	218,189,147		
85,142,61	130,93,84		
83,138,55	138,100,91		
80,136,49	138,100,89		
76,133,52	134,96,87		
77,134,53	134,97,89		
75,132,53	229,183,98		
65,127,54	217,181,95		
65,126,56	207,176,96		
63,127,53	209,181,97		
57,121,45	232,195,107		
56,120,44	175,158,68		
55,117,44	169,151,65		
46,99,53	158,145,66		
45,99,63	163,153,68		
45,95,68	172,160,78		
48,107,39	202,159,116		
49,108,40	187,150,108		
50,111,42	195,156,113		
85,142,71	214,163,116		
85,142,71	204,160,115		
85,142,73	236,202,164		
85,137,62	223,195,156		
87,140,62	225,201,157		
86,140,62	249,200,159		
69,132,41	220,191,149		
67,130,39	211,171,120		
65,129,35	202,166,114		
76,130,54	203,165,116		
79,135,60	202,164,115		
83,141,67	196,163,112		
44,96,58	224,172,89		
44,92,70	247,170,90		
43,87,74	230,168,85		
44,103,35	212,165,83		
48,107,41	211,165,80		
50,111,44	252,195,80		
83,140,71	249,188,81		
85,142,73	255,186,82		
84,141,72	253,191,78		
89,143,68	255,188,81		
88,142,66	160,132,92		
90,144,68	162,133,91		
70,130,40	165,136,94		
68,128,38	170,141,97		
66,126,36	168,139,97		
81,135,59	197,171,110		
80,136,61	202,174,111		
83,141,67	196,173,105		
42,90,64	191,170,103		
43,86,76	196,173,103		
39,81,80	204,168,118		
45,104,38	203,165,116		
47,106,40	203,163,114		
47,107,43	203,163,112		
83,138,70	203,161,111		
85,140,72	218,171,83		
85,140,72	232,167,83		
96,150,75	216,161,79		
99,153,77	207,159,77		
94,148,72	202,156,81		
67,127,37	255,204,86		
67,127,37	254,192,79		
66,126,36	255,184,81		
87,141,66	254,188,78		
86,139,67	253,189,79		
85,141,68	165,138,95		
70,135,41	161,134,91		
73,138,44	167,138,94		
73,138,46	167,138,96		
97,151,75	165,136,96		
100,153,75	204,169,111		
103,153,80	209,175,111		
72,138,40	218,179,110		
72,138,38	206,179,108		
74,139,39	205,178,107		
104,146,74	193,159,113		
110,151,85	190,160,110		
116,156,93	197,161,111		
72,132,62	198,160,111		
71,130,62	192,155,110		
71,130,62	210,165,82		
55,120,30	211,163,81		
52,117,27	206,163,84		
48,113,23	210,164,79		
67,129,43	221,171,86		
70,130,44	255,207,88		
69,132,43	255,208,84		
69,134,42	254,191,78		
71,136,44	255,194,77		
73,138,46	255,189,76		
90,147,66	169,140,96		
95,148,68	170,141,97		
99,150,73	167,138,96		
70,138,35	170,139,95		
69,137,34	159,134,93		
71,138,33	201,164,109		
111,153,81	205,171,108		
115,156,90	219,181,110		
116,156,93	217,185,108		
67,127,57	213,184,108		
67,126,58	195,163,112		
67,126,58	200,158,110		
53,118,28	196,158,113		
52,117,27	189,155,110		
48,113,23	184,150,105		
69,131,45	206,165,85		
72,132,46	210,158,82		
69,132,43	214,163,84		
70,135,43	237,173,86		
71,136,44	255,178,93		
73,138,46	254,199,83		
87,145,61	255,197,81		
92,145,63	255,187,78		
97,148,69	255,194,77		
71,139,36	255,191,79		
69,137,34	169,140,98		
71,138,33	180,149,103		
111,154,82	174,142,101		
122,163,95	174,143,99		
113,154,88	167,139,99		
66,126,56	200,163,108		
66,125,57	198,168,106		
67,126,58	206,173,106		
50,115,25	213,179,108		
49,114,24	221,183,108		
48,113,23	191,159,108		
70,132,46	199,158,112		
72,132,46	194,156,111		
68,131,42	188,154,108		
52,109,30	189,155,107		
59,113,35	198,159,82		
57,115,31	219,162,85		
92,150,76	254,172,90		
89,147,73	254,183,93		
84,142,66	228,178,89		
65,130,38	254,187,82		
64,129,37	234,182,73		
63,128,36	254,186,77		
51,107,34	254,199,80		
49,105,34	255,196,80		
49,107,33	168,141,98		
78,143,51	182,149,104		
82,147,55	178,145,102		
81,144,53	169,140,98		
52,107,42	168,139,99		
50,107,39	200,164,104		
50,107,38	201,167,104		
56,113,34	199,167,106		
60,114,36	198,168,106		
56,113,32	203,174,106		
88,148,74	165,149,89		
82,142,68	165,149,89		
79,139,65	166,147,89		
65,130,38	162,143,84		
64,129,37	162,146,86		
63,128,36	160,141,72		
49,107,33	159,143,66		
46,106,32	156,141,60		
45,105,31	151,139,53		
77,142,52	146,136,47		
80,143,54	170,154,77		
80,143,54	190,168,85		
52,107,40	170,154,76		
52,107,39	159,146,76		
51,108,39	165,146,78		
57,114,37	202,162,77		
59,113,37	198,162,78		
54,111,30	182,160,77		
84,144,70	179,156,78		
78,138,64	178,151,80		
75,135,61	174,137,95		
64,129,37	173,135,96		
64,129,37	165,131,94		
63,129,39	189,146,104		
49,106,35	187,149,104		
46,106,34	164,146,84		
44,106,33	162,144,82		
79,144,54	157,141,81		
79,142,53	155,137,75		
78,141,52	147,130,74		
51,106,39	156,139,69		
52,107,39	155,139,62		
51,108,39	154,142,60		
69,136,43	155,144,55		
71,136,46	147,138,47		
68,132,45	165,145,72		
70,127,46	164,146,70		
70,127,48	164,146,70		
68,125,46	167,144,77		
58,117,33	166,145,78		
56,118,33	196,159,79		
57,119,36	189,158,76		
71,132,39	190,162,78		
65,126,33	185,158,77		
66,127,34	181,155,80		
97,144,74	172,139,96		
97,144,76	158,130,90		
96,142,70	170,138,97		
55,106,27	197,153,104		
55,106,27	211,161,108		
58,104,29	156,142,77		
72,107,51	158,143,76		
68,106,47	156,141,74		
64,104,44	154,134,71		
40,99,19	149,130,71		
41,100,20	159,142,64		
41,100,20	157,140,62		
49,118,25	153,141,55		
48,117,24	148,139,48		
51,118,25	144,138,44		
68,133,39	163,147,69		
68,133,39	165,145,72		
64,129,37	170,151,75		
74,131,52	167,146,79		
74,131,52	165,143,83		
74,131,52	199,162,84		
59,121,38	189,158,78		
57,119,36	197,161,83		
56,118,35	189,156,79		
68,129,36	187,158,82		
66,127,34	168,137,93		
65,126,33	172,141,95		
97,147,74	164,136,96		
98,149,74	181,147,99		
94,145,70	213,166,110		
56,105,26	159,141,77		
56,105,26	163,144,75		
63,109,34	167,147,78		
67,102,48	163,139,75		
65,100,44	158,138,75		
62,100,43	157,141,64		
42,101,21	156,141,60		
43,102,22	152,140,54		
42,101,21	149,138,48		
47,116,25	143,137,43		
48,117,26	171,152,75		
51,117,27	164,145,76		
65,130,36	167,147,78		
65,130,36	163,143,82		
63,128,36	166,144,87		
75,132,55	201,162,83		
79,135,60	190,159,79		
76,132,57	186,159,82		
59,121,38	191,155,81		
59,121,38	183,151,78		
58,120,37	168,140,92		
66,127,34	180,148,97		
67,128,35	178,144,98		
72,133,40	182,148,100		
95,145,72	202,161,107		
93,144,65	159,141,75		
91,142,63	164,144,75		
56,105,26	171,151,82		
62,108,33	176,152,82		
75,117,45	159,138,73		
73,106,53	155,142,64		
69,102,49	153,143,58		
63,101,44	146,136,49		
43,100,19	144,133,44		
43,102,20	140,134,40		
43,102,20	176,155,76		
49,118,27	173,146,75		
48,117,24	167,144,77		
50,117,24	168,144,84		
68,121,49	169,148,91		
68,121,51	193,156,78		
66,120,45	190,154,76		
65,116,39	191,154,76		
66,117,40	186,150,76		
68,116,42	180,146,72		
49,96,24	162,136,87		
49,96,26	167,141,92		
54,101,33	181,149,100		
61,104,58	178,145,100		
59,102,56	185,151,105		
66,108,62	201,166,72		
57,109,35	202,169,72		
54,106,32	206,167,72		
51,103,28	202,168,71		
58,110,36	193,164,72		
59,109,36	156,144,146		
58,108,35	176,162,162		
35,87,25	131,119,121		
36,86,27	103,98,95		
34,84,23	105,99,101		
63,116,46	79,63,47		
62,115,45	78,62,46		
63,115,43	78,62,47		
64,113,47	77,61,46		
69,118,52	77,61,48		
72,118,53	254,179,78		
66,122,49	255,177,79		
69,122,50	254,179,77		
71,125,50	254,170,74		
67,118,41	241,166,75		
68,116,42	241,217,91		
68,116,42	242,213,93		
49,99,26	225,203,91		
47,97,26	225,204,95		
50,100,31	214,192,90		
63,105,59	197,168,74		
61,103,57	199,169,73		
64,103,58	196,168,69		
56,108,34	194,169,69		
55,107,33	194,168,71		
53,105,30	136,126,127		
